No,tensorflow_elapsed,torch_elapsed,mindspore_elapsed,tensorflow_fps,torch_fps,mindspore_fps,complexity,diff_tf_torch_max,diff_torch_mindspore_max,diff_tf_mindspore_max,fitness,channels,model,fail_time
0,4.13728858,0.001765606,0.046403567,0.241704194,566.3777783,21.55006733,1,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
1,0.027897062,0.005609293,0.007700625,35.84606895,178.2756013,129.8595914,2,0,0,0,1.00E-09,0:1 1:1 2:3 3:1 4:1 5:2 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:3 to:5 operator:12  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
2,0.086455543,0.007249625,0.071211227,11.56663841,137.9381616,14.04272948,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:1  from:1 to:2 operator:-1  ,0
3,0.020583224,0.000750942,0.000590771,48.58325287,1331.660491,1692.704681,1,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
4,0.018520277,0.000375437,0.000374901,53.99487277,2663.565432,2667.370081,1,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:-1  ,0
5,0.022465826,0.001849505,0.001109911,44.5120513,540.6851756,900.9730365,1,0,0,0,1.00E-09,0:1 1:1 2:2 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
6,0.028430527,0.002790662,0.001673043,35.17345976,358.3379746,597.7133492,1,0,0,0,1.00E-09,0:1 1:1 2:2 3:1 4:1 5:1 6:1 7:1 8:1 ,from:0 to:3 operator:-1  from:0 to:6 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:2 operator:-1  ,0
7,0.034136042,0.005245493,0.005255816,29.29455032,190.6398577,190.2654281,1,0,0,0,1.00E-09,0:1 1:1 2:3 3:1 4:1 5:2 6:1 7:1 8:1 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:-1  from:4 to:5 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:5 operator:-1  from:5 to:2 operator:-1  ,0
8,0.020148294,0.000849524,0.003742086,49.63199354,1177.130361,267.2306466,2,1.79E-07,1.19E-07,1.19E-07,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:3 operator:-1  from:3 to:4 operator:9  from:4 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:-1  ,0
9,0.019753633,0.006112986,0.010184309,50.62359904,163.5861689,98.19026075,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:2  from:1 to:2 operator:-1  ,0
10,0.034524593,0.009505657,0.006839291,28.96486028,105.2005188,146.2139821,2,0,0,0,1.00E-09,0:1 1:1 2:3 3:1 4:1 5:2 6:1 7:1 8:1 ,from:0 to:1 operator:1  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:-1  from:4 to:5 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:5 operator:-1  from:5 to:2 operator:-1  ,0
11,0.019504391,0.000573051,0.001087147,51.27050712,1745.044886,919.8389672,2,1.19E-07,1.19E-07,1.19E-07,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:9  ,0
12,0.022401544,0.006255459,0.0074762,44.63977966,159.8603705,133.7577851,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
13,0.040388123,0.010008442,0.006652294,24.75975417,99.91564905,150.3240899,2,0,0,0,1.00E-09,0:1 1:1 2:3 3:1 4:1 5:2 6:1 7:1 8:1 9:1 10:1 11:1 ,from:0 to:1 operator:1  from:0 to:3 operator:-1  from:1 to:6 operator:-1  from:3 to:4 operator:-1  from:3 to:9 operator:-1  from:4 to:5 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:2 operator:-1  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:5 operator:-1  from:5 to:2 operator:-1  ,0
14,0.030645934,0.0063351,0.004252859,32.63075624,157.8507008,235.1359187,2,0,0,0,1.00E-09,0:1 1:1 2:2 3:1 4:1 5:1 ,from:0 to:1 operator:1  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
15,0.039365047,0.00964997,0.005745577,25.40324691,103.6272691,174.0469326,2,0,0,0,1.00E-09,0:1 1:1 2:4 3:1 4:1 5:2 6:1 7:1 8:2 9:1 10:1 11:1 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:6 operator:-1  from:3 to:4 operator:-1  from:3 to:5 operator:12  from:4 to:5 operator:-1  from:5 to:2 operator:-1  from:6 to:7 operator:-1  from:6 to:9 operator:-1  from:7 to:8 operator:-1  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:8 operator:-1  from:8 to:2 operator:-1  ,0
16,0.029460111,0.004479015,0.001109293,33.94420374,223.2633615,901.4753025,1,0,0,0,1.00E-09,0:1 1:2 2:2 3:1 4:1 5:2 6:1 7:1 8:1 ,from:0 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:-1  from:4 to:5 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:-1  ,0
17,0.035706419,0.010977548,0.002528203,28.00616847,91.09502732,395.5379021,2,0,0,0,1.00E-09,0:1 1:1 2:2 3:1 4:1 5:2 6:1 7:1 8:1 9:1 10:1 11:1 ,from:0 to:1 operator:1  from:1 to:3 operator:-1  from:3 to:6 operator:-1  from:3 to:9 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:4 operator:-1  from:4 to:5 operator:-1  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:5 operator:-1  from:5 to:2 operator:-1  ,0
18,0.038110669,0.001222379,0.000995267,26.23937161,818.0771661,1004.755323,1,0,0,0,0.103660678,0:1 1:1 2:2 3:1 4:1 5:1 6:1 7:1 8:1 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:6 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:2 operator:-1  ,0
19,0.049893086,0.01023759,0.003039482,20.0428573,97.67923505,329.0034235,2,0,0,0,0.075414304,0:1 1:1 2:4 3:1 4:1 5:2 6:1 7:1 8:2 9:1 10:1 11:1 12:1 13:1 14:1 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:6 operator:-1  from:3 to:4 operator:-1  from:3 to:5 operator:12  from:4 to:5 operator:-1  from:5 to:2 operator:-1  from:6 to:7 operator:-1  from:6 to:9 operator:-1  from:7 to:8 operator:-1  from:9 to:12 operator:-1  from:12 to:13 operator:-1  from:13 to:14 operator:-1  from:14 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:8 operator:-1  from:8 to:2 operator:-1  ,0
20,0.028543797,0.004843235,0.004906191,35.03388105,206.473565,203.8241254,2,0,0,0,0.082418751,0:1 1:1 2:3 3:1 4:1 5:2 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:3 to:5 operator:8  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
21,0.037398566,0.011693805,0.006932284,26.7389928,85.51536823,144.2526065,2,0,0,0,0.069503025,0:1 1:1 2:3 3:1 4:1 5:2 6:1 7:1 8:1 ,from:0 to:1 operator:2  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:-1  from:4 to:5 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:5 operator:-1  from:5 to:2 operator:-1  ,0
22,0.014390389,0.000465902,0.006524301,69.49082264,2146.371827,153.2731214,2,0,0,0,0.158394665,0:1 1:1 2:1 ,from:0 to:1 operator:11  from:1 to:2 operator:-1  ,0
23,0.033102787,0.006822961,0.008585457,30.2089367,146.5639249,116.4760394,2,2.86E-06,0,2.86E-06,0.404681911,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:7  ,0
24,0.046521386,0.005614355,0.006426696,21.49549021,178.1148437,155.600956,2,3.81E-06,0,3.81E-06,0.289020505,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:7  ,0
25,0.042439171,0.00645252,0.00904132,23.56313693,154.978201,110.6033239,2,3.81E-06,0,3.81E-06,0.233322266,0:1 1:1 2:2 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:2 operator:7  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
26,0.019407934,0.000528617,0.000401774,51.52532061,1891.7294,2488.958846,2,0,0,0,0.220958656,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:12  from:5 to:1 operator:-1  from:1 to:2 operator:-1  ,0
27,0.073729616,0.021527359,0.023878232,13.56307084,46.45251597,41.87914812,4,3.81E-06,5.96E-08,3.81E-06,0.397930806,0:1 1:1 2:6 3:1 4:5 5:5 6:1 7:2 8:5 9:1 10:1 11:2 12:2 13:2 14:4 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:2 operator:7  from:3 to:6 operator:-1  from:6 to:8 operator:11  from:6 to:9 operator:-1  from:9 to:10 operator:-1  from:9 to:11 operator:10  from:10 to:11 operator:-1  from:11 to:7 operator:-1  from:7 to:12 operator:-1  from:12 to:13 operator:-1  from:12 to:14 operator:10  from:13 to:14 operator:-1  from:14 to:8 operator:-1  from:8 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
28,0.044107689,0.003620519,0.018132134,22.67178426,276.2034715,55.15070544,2,3.81E-06,0,3.81E-06,0.195312843,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:7  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
29,0.030986023,0.00337443,0.005771385,32.27261516,296.3463151,173.2686476,2,3.81E-06,0,3.81E-06,0.197918741,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:-1  ,0
